merchant_id,signup_date,industry,country,business_size,acquisition_channel,customer_acquisition_cost,kyc_completed,api_integrated,time_to_first_transaction_days
M00001,2024-11-23,SaaS,Nigeria,Enterprise,Paid Ads,9014.9,1,0,11.0
M00002,2024-05-05,Logistics,Ghana,Enterprise,Organic,6682.44,1,1,9.0
M00003,2024-12-12,SaaS,South Africa,SME,Organic,4939.63,1,0,5.0
M00004,2024-02-17,Logistics,Ghana,Enterprise,Partnership,6438.56,1,1,0.0
M00005,2024-01-14,Logistics,South Africa,SME,Sales Team,854.88,1,1,2.0
M00006,2024-10-28,Education,Nigeria,SME,Sales Team,4458.37,1,1,23.0
M00007,2024-06-23,Education,Ghana,SME,Paid Ads,2635.48,1,1,4.0
M00008,2024-02-22,SaaS,South Africa,SME,Paid Ads,3319.08,1,1,4.0
M00009,2025-03-09,Healthcare,Kenya,SME,Sales Team,401.88,1,0,9.0
M00010,2024-10-01,SaaS,South Africa,SME,Partnership,6167.7,1,0,9.0
M00011,2024-05-30,Healthcare,Ghana,Enterprise,Organic,2614.76,1,1,7.0
M00012,2024-01-24,Logistics,Kenya,SME,Referral,1537.44,1,0,0.0
M00013,2025-03-19,SaaS,South Africa,Mid-Market,Sales Team,5175.24,1,0,3.0
M00014,2024-11-21,Healthcare,Ghana,Mid-Market,Paid Ads,5687.44,1,0,13.0
M00015,2024-04-17,Education,Nigeria,Enterprise,Referral,6539.91,1,1,9.0
M00016,2024-09-30,Logistics,Ghana,Mid-Market,Sales Team,1510.44,1,1,15.0
M00017,2024-05-18,Logistics,Kenya,SME,Referral,1929.69,1,1,10.0
M00018,2025-02-24,E-commerce,Kenya,Mid-Market,Paid Ads,1476.9,1,0,28.0
M00019,2024-02-03,Logistics,Kenya,SME,Sales Team,2619.37,1,1,8.0
M00020,2024-07-21,Gaming,Ghana,Mid-Market,Referral,771.51,1,0,4.0
M00021,2024-05-06,Education,South Africa,Enterprise,Sales Team,2198.39,1,1,3.0
M00022,2024-07-04,Logistics,Ghana,Enterprise,Sales Team,4213.13,1,1,9.0
