ticket_id,merchant_id,ticket_created_date,ticket_category,ticket_status,resolution_time_hours
S000001,M00687,2024-12-21,Failed Payment,Escalated,23
S000002,M00854,2024-03-10,Failed Payment,Escalated,14
S000003,M01766,2024-11-17,Failed Payment,Escalated,30
S000004,M01971,2024-05-13,KYC Verification,Escalated,27
S000005,M01858,2024-05-24,Fraud Complaint,Resolved,33
S000006,M02914,2025-03-11,Account Access,Escalated,19
S000007,M01102,2025-05-17,Account Access,Pending,23
S000008,M01396,2024-06-25,KYC Verification,Escalated,3
S000009,M02902,2024-01-11,Refund Request,Pending,42
S000010,M02785,2025-05-11,Refund Request,Pending,26
S000011,M01290,2025-07-03,Refund Request,Pending,35
S000012,M02051,2024-08-29,Account Access,Pending,28
S000013,M00634,2024-01-04,KYC Verification,Resolved,40
S000014,M01494,2024-05-02,Failed Payment,Escalated,30
S000015,M00608,2025-06-25,Account Access,Escalated,1
S000016,M00147,2024-03-25,Failed Payment,Pending,1
S000017,M01876,2024-06-07,Account Access,Pending,34
S000018,M00303,2025-07-01,API Integration,Pending,31
S000019,M02774,2024-11-11,API Integration,Pending,29
S000020,M02873,2024-04-21,Failed Payment,Escalated,28
S000021,M01962,2025-05-24,Failed Payment,Resolved,41
S000022,M01230,2024-11-02,Fraud Complaint,Escalated,20
S000023,M00866,2024-12-30,Failed Payment,Escalated,23
S000024,M02236,2024-08-21,KYC Verification,Pending,26
S000025,M00515,2024-01-29,Fraud Complaint,Resolved,19
S000026,M00160,2024-06-10,Fraud Complaint,Resolved,31
S000027,M00647,2024-10-26,Failed Payment,Pending,27
S000028,M00398,2025-03-07,KYC Verification,Escalated,9
S000029,M01868,2025-01-20,KYC Verification,Resolved,20
S000030,M02805,2024-02-25,Refund Request,Pending,33
S000031,M00659,2024-06-23,KYC Verification,Pending,19
S000032,M00055,2025-05-19,Fraud Complaint,Pending,42
S000033,M01290,2025-05-23,Account Access,Resolved,37
S000034,M01812,2025-01-02,API Integration,Escalated,10
S000035,M01836,2025-06-18,Account Access,Pending,23
S000036,M02008,2024-03-12,Refund Request,Escalated,19
S000037,M01151,2024-04-09,Failed Payment,Pending,26
S000038,M02240,2024-05-22,KYC Verification,Resolved,17
S000039,M02892,2024-04-17,Refund Request,Resolved,22
S000040,M02506,2025-04-29,KYC Verification,Resolved,36
S000041,M01368,2024-05-05,Refund Request,Resolved,43
S000042,M01490,2024-08-17,Fraud Complaint,Pending,24
S000043,M02513,2024-06-21,Fraud Complaint,Escalated,13
S000044,M01278,2024-10-29,Fraud Complaint,Resolved,22
S000045,M00834,2024-08-25,API Integration,Escalated,33
S000046,M01918,2024-09-23,API Integration,Resolved,29
S000047,M02729,2025-01-04,API Integration,Resolved,16
S000048,M01070,2025-06-29,Failed Payment,Pending,14
S000049,M00913,2025-05-16,Failed Payment,Resolved,31
S000050,M00808,2024-10-03,KYC Verification,Pending,30
S000051,M01112,2025-06-24,Failed Payment,Pending,22
S000052,M00799,2024-02-05,Failed Payment,Resolved,2
S000053,M01174,2025-06-23,API Integration,Pending,25
S000054,M01445,2025-05-09,Failed Payment,Pending,18
S000055,M01019,2024-12-26,API Integration,Resolved,30
S000056,M02879,2024-05-14,KYC Verification,Resolved,40
S000057,M01523,2024-04-09,Failed Payment,Escalated,20
S000058,M01861,2024-03-23,API Integration,Pending,1
S000059,M00043,2024-05-03,Fraud Complaint,Escalated,18
S000060,M00959,2025-03-29,KYC Verification,Pending,40
S000061,M00159,2024-01-05,API Integration,Pending,34
S000062,M01020,2024-08-15,Failed Payment,Resolved,16
S000063,M00143,2024-07-21,API Integration,Escalated,20
S000064,M00455,2025-05-31,Fraud Complaint,Resolved,19
S000065,M01427,2024-12-09,Fraud Complaint,Resolved,2
S000066,M00732,2025-05-17,Fraud Complaint,Escalated,16
S000067,M01361,2025-06-16,API Integration,Escalated,18
S000068,M01420,2025-05-24,Failed Payment,Pending,26
S000069,M01381,2024-06-18,API Integration,Resolved,20
S000070,M01938,2024-12-09,Failed Payment,Escalated,12
S000071,M01288,2024-02-22,Failed Payment,Escalated,28
S000072,M01499,2024-05-16,Fraud Complaint,Resolved,38
S000073,M00995,2024-03-31,Failed Payment,Escalated,15
S000074,M02664,2025-03-13,Failed Payment,Escalated,27
S000075,M00240,2024-03-09,API Integration,Resolved,11
S000076,M02699,2025-06-27,Account Access,Pending,16
S000077,M02904,2024-03-03,Account Access,Resolved,22
S000078,M02797,2024-01-29,Failed Payment,Pending,5
S000079,M01168,2025-03-15,KYC Verification,Pending,15
S000080,M01694,2025-06-05,Refund Request,Resolved,38
S000081,M02023,2024-12-16,Failed Payment,Escalated,18
S000082,M00031,2025-03-21,KYC Verification,Pending,22
S000083,M01464,2024-01-08,Fraud Complaint,Pending,14
S000084,M02428,2024-03-22,Account Access,Pending,42
S000085,M02143,2024-12-21,API Integration,Pending,20
S000086,M00545,2024-09-30,Refund Request,Pending,37
S000087,M01849,2024-12-10,API Integration,Escalated,26
S000088,M01354,2024-02-18,Fraud Complaint,Pending,29
S000089,M00021,2024-03-16,API Integration,Resolved,22
S000090,M00317,2025-04-14,Refund Request,Pending,24
S000091,M00759,2024-07-30,API Integration,Resolved,21
