transaction_id,merchant_id,transaction_date,payment_method,transaction_value_ngn,transaction_success,failure_reason,paystack_revenue_ngn,refund_flag,fraud_flag
T0000001,M00558,2026-04-13,USSD,13574.97,1,,203.62,0,0
T0000002,M00002,2024-06-13,USSD,22887.61,1,,343.31,0,0
T0000003,M02902,2025-06-10,USSD,11853.39,1,,177.8,0,0
T0000004,M00856,2025-09-01,QR,2519.33,1,,37.79,0,0
T0000005,M02433,2024-06-09,Card,19270.81,1,,289.06,0,0
T0000006,M01681,2025-02-26,Bank Transfer,10966.44,1,,164.5,0,0
T0000007,M01970,2025-04-12,Bank Transfer,14764.11,1,,221.46,0,0
T0000008,M01603,2024-11-03,Mobile Money,89929.79,1,,1348.95,0,0
T0000009,M01602,2025-01-11,Bank Transfer,31837.91,1,,477.57,0,0
T0000010,M01019,2024-10-10,Card,23908.89,1,,358.63,0,0
T0000011,M00927,2025-05-27,Bank Transfer,2231.23,1,,33.47,0,0
T0000012,M01645,2024-11-17,QR,2159.07,1,,32.39,0,0
T0000013,M02754,2024-07-26,Bank Transfer,41223.99,1,,618.36,1,0
T0000014,M01817,2024-05-16,USSD,8748.22,1,,131.22,0,0
T0000015,M01342,2025-03-23,Card,4930.28,1,,73.95,0,0
T0000016,M02133,2025-03-06,QR,29561.12,1,,443.42,0,0
T0000017,M00421,2026-02-26,QR,11660.31,1,,174.9,0,0
T0000018,M01930,2025-08-07,Mobile Money,5214.78,1,,78.22,0,0
T0000019,M01224,2024-03-17,QR,43572.36,1,,653.59,0,0
T0000020,M02499,2025-03-31,Bank Transfer,7363.87,1,,110.46,0,0
T0000021,M00289,2025-09-28,USSD,1378.28,1,,20.67,0,0
T0000022,M01115,2024-05-28,USSD,3434.66,0,Card Declined,0.0,0,0
T0000023,M00463,2025-07-19,Mobile Money,2054.72,1,,30.82,0,0
T0000024,M01745,2024-11-14,Bank Transfer,4394.51,1,,65.92,0,0
T0000025,M02908,2025-06-03,Mobile Money,39587.5,1,,593.81,0,0
T0000026,M01193,2025-06-15,QR,4033.81,1,,60.51,0,0
T0000027,M00423,2025-03-08,QR,8304.6,1,,124.57,0,0
T0000028,M02454,2024-12-04,Bank Transfer,9144.6,1,,137.17,0,0
T0000029,M02724,2025-02-18,Mobile Money,29312.34,1,,439.69,0,0
T0000030,M01728,2025-02-06,Card,11613.32,1,,174.2,0,0
T0000031,M01148,2025-08-23,USSD,117823.44,1,,1767.35,0,0
T0000032,M01031,2026-03-31,USSD,30940.03,0,Fraud Flag,0.0,0,0
T0000033,M01719,2025-06-08,USSD,2448.74,1,,36.73,0,0
T0000034,M01461,2025-01-18,Card,37807.66,1,,567.11,0,0
T0000035,M00415,2025-01-25,Mobile Money,68247.58,1,,1023.71,0,0
T0000036,M00995,2025-01-25,Bank Transfer,8685.7,0,Card Declined,0.0,0,0
T0000037,M02422,2025-11-05,USSD,4501.94,1,,67.53,0,0
T0000038,M00426,2025-04-21,QR,11829.49,0,Card Declined,0.0,0,0
T0000039,M02485,2025-05-04,Mobile Money,44800.63,1,,672.01,0,0
T0000040,M02485,2025-04-10,Mobile Money,2601.16,1,,39.02,0,0
T0000041,M00173,2026-02-21,Card,33563.0,1,,503.44,0,0
T0000042,M02419,2025-02-21,QR,12389.96,0,Insufficient Funds,0.0,0,0
T0000043,M00389,2025-03-04,Bank Transfer,4056.5,1,,60.85,0,0
T0000044,M01478,2025-02-15,Mobile Money,6609.84,0,Fraud Flag,0.0,0,0
T0000045,M01613,2026-02-11,Card,100003.28,1,,1500.05,0,0
T0000046,M01423,2025-10-17,Mobile Money,12743.56,1,,191.15,0,0
T0000047,M01888,2025-06-05,QR,2779.4,1,,41.69,0,0
T0000048,M00153,2025-01-09,Mobile Money,2299.55,1,,34.49,0,0
T0000049,M02741,2024-07-14,Bank Transfer,60483.06,1,,907.25,0,0
T0000050,M02323,2025-06-07,Card,51322.86,1,,769.84,0,0
T0000051,M02583,2025-04-24,USSD,131149.93,0,Insufficient Funds,0.0,0,0
